Well,Content,Raw Data (600),
A01,Sample X1,0.081,
A02,Sample X2,0.081,
A03,Sample X3,0.069,
A04,Sample X4,0.073,
A05,Sample X5,0.073,
A06,Sample X6,0.065,
A07,Sample X7,0.073,
A08,Sample X8,0.073,
A09,Sample X9,0.069,
A10,Sample X10,0.071,
A11,Sample X11,0.071,
A12,Sample X12,0.080,
A13,Sample X13,0.075,
A14,Sample X14,0.072,
A15,Sample X15,0.068,
A16,Sample X16,0.078,
A17,Sample X17,0.076,
A18,Sample X18,0.069,
A19,Sample X19,0.071,
A20,Sample X20,0.075,
A21,Sample X21,0.070,
A22,Sample X22,0.069,
A23,Sample X23,0.078,
A24,Sample X24,0.080,
B01,Sample X25,0.076,
B02,Sample X26,0.073,
B03,Sample X27,0.067,
B04,Sample X28,0.063,
B05,Sample X29,0.065,
B06,Sample X30,0.065,
B07,Sample X31,0.072,
B08,Sample X32,0.071,
B09,Sample X33,0.101,
B10,Sample X34,0.073,
B11,Sample X35,0.075,
B12,Sample X36,0.069,
B13,Sample X37,0.072,
B14,Sample X38,0.071,
B15,Sample X39,0.079,
B16,Sample X40,0.067,
B17,Sample X41,0.069,
B18,Sample X42,0.071,
B19,Sample X43,0.067,
B20,Sample X44,0.066,
B21,Sample X45,0.066,
B22,Sample X46,0.066,
B23,Sample X47,0.066,
B24,Sample X48,0.080,
C01,Sample X49,0.078,
C02,Sample X50,0.081,
C03,Sample X51,0.060,
C04,Sample X52,0.069,
C05,Sample X53,0.061,
C06,Sample X54,0.067,
C07,Sample X55,0.073,
C08,Sample X56,0.070,
C09,Sample X57,0.081,
C10,Sample X58,0.063,
C11,Sample X59,0.069,
C12,Sample X60,0.070,
C13,Sample X61,0.070,
C14,Sample X62,0.066,
C15,Sample X63,0.068,
C16,Sample X64,0.069,
C17,Sample X65,0.069,
C18,Sample X66,0.064,
C19,Sample X67,0.068,
C20,Sample X68,0.068,
C21,Sample X69,0.066,
C22,Sample X70,0.066,
C23,Sample X71,0.073,
C24,Sample X72,0.080,
D01,Sample X73,0.077,
D02,Sample X74,0.072,
D03,Sample X75,0.066,
D04,Sample X76,0.066,
D05,Sample X77,0.071,
D06,Sample X78,0.066,
D07,Sample X79,0.071,
D08,Sample X80,0.075,
D09,Sample X81,0.120,
D10,Sample X82,0.067,
D11,Sample X83,0.066,
D12,Sample X84,0.070,
D13,Sample X85,0.065,
D14,Sample X86,0.069,
D15,Sample X87,0.069,
D16,Sample X88,0.067,
D17,Sample X89,0.112,
D18,Sample X90,0.069,
D19,Sample X91,0.064,
D20,Sample X92,0.069,
D21,Sample X93,0.071,
D22,Sample X94,0.070,
D23,Sample X95,0.069,
D24,Sample X96,0.076,
E01,Sample X97,0.083,
E02,Sample X98,0.090,
E03,Sample X99,0.071,
E04,Sample X100,0.084,
E05,Sample X101,0.066,
E06,Sample X102,0.069,
E07,Sample X103,0.069,
E08,Sample X104,0.065,
E09,Sample X105,0.069,
E10,Sample X106,0.070,
E11,Sample X107,0.070,
E12,Sample X108,0.065,
E13,Sample X109,0.066,
E14,Sample X110,0.075,
E15,Sample X111,0.067,
E16,Sample X112,0.065,
E17,Sample X113,0.072,
E18,Sample X114,0.068,
E19,Sample X115,0.066,
E20,Sample X116,0.064,
E21,Sample X117,0.081,
E22,Sample X118,0.066,
E23,Sample X119,0.071,
E24,Sample X120,0.080,
F01,Sample X121,0.077,
F02,Sample X122,0.067,
F03,Sample X123,0.068,
F04,Sample X124,0.077,
F05,Sample X125,0.070,
F06,Sample X126,0.071,
F07,Sample X127,0.066,
F08,Sample X128,0.074,
F09,Sample X129,0.072,
F10,Sample X130,0.064,
F11,Sample X131,0.067,
F12,Sample X132,0.066,
F13,Sample X133,0.070,
F14,Sample X134,0.072,
F15,Sample X135,0.079,
F16,Sample X136,0.068,
F17,Sample X137,0.068,
F18,Sample X138,0.073,
F19,Sample X139,0.071,
F20,Sample X140,0.071,
F21,Sample X141,0.075,
F22,Sample X142,0.070,
F23,Sample X143,0.072,
F24,Sample X144,0.076,
G01,Sample X145,0.082,
G02,Sample X146,0.074,
G03,Sample X147,0.073,
G04,Sample X148,0.069,
G05,Sample X149,0.065,
G06,Sample X150,0.069,
G07,Sample X151,0.065,
G08,Sample X152,0.074,
G09,Sample X153,0.067,
G10,Sample X154,0.066,
G11,Sample X155,0.065,
G12,Sample X156,0.067,
G13,Sample X157,0.061,
G14,Sample X158,0.065,
G15,Sample X159,0.063,
G16,Sample X160,0.066,
G17,Sample X161,0.067,
G18,Sample X162,0.067,
G19,Sample X163,0.075,
G20,Sample X164,0.071,
G21,Sample X165,0.068,
G22,Sample X166,0.068,
G23,Sample X167,0.071,
G24,Sample X168,0.117,
H01,Sample X169,0.073,
H02,Sample X170,0.068,
H03,Sample X171,0.068,
H04,Sample X172,0.071,
H05,Sample X173,0.068,
H06,Sample X174,0.068,
H07,Sample X175,0.070,
H08,Sample X176,0.072,
H09,Sample X177,0.069,
H10,Sample X178,0.070,
H11,Sample X179,0.069,
H12,Sample X180,0.071,
H13,Sample X181,0.068,
H14,Sample X182,0.077,
H15,Sample X183,0.068,
H16,Sample X184,0.074,
H17,Sample X185,0.070,
H18,Sample X186,0.067,
H19,Sample X187,0.065,
H20,Sample X188,0.068,
H21,Sample X189,0.066,
H22,Sample X190,0.067,
H23,Sample X191,0.072,
H24,Sample X192,0.078,
I01,Sample X193,0.081,
I02,Sample X194,0.080,
I03,Sample X195,0.069,
I04,Sample X196,0.066,
I05,Sample X197,0.067,
I06,Sample X198,0.066,
I07,Sample X199,0.063,
I08,Sample X200,0.066,
I09,Sample X201,0.063,
I10,Sample X202,0.065,
I11,Sample X203,0.065,
I12,Sample X204,0.070,
I13,Sample X205,0.068,
I14,Sample X206,0.082,
I15,Sample X207,0.068,
I16,Sample X208,0.068,
